,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Wind Speed
79,Vaitape,36,PF,scattered clouds,75,-16.5167,-151.75,80.33,16.64
80,Lima,75,PE,broken clouds,38,-12.0432,-77.0282,65.39,6.91
81,Kaitangata,86,NZ,overcast clouds,81,-46.2817,169.8464,54.93,2.66
82,Luderitz,23,NA,few clouds,67,-26.6481,15.1594,72.23,11.21
83,Salo,75,IT,broken clouds,63,45.6086,10.531,56.39,3.78
84,Port Hedland,42,AU,moderate rain,79,-20.3167,118.5667,86.05,11.5
85,East London,75,ZA,light intensity shower rain,94,-33.0153,27.9116,68.94,13.8
86,Johannesburg,100,ZA,overcast clouds,73,-26.2023,28.0436,70.99,10.36
87,Hobart,75,AU,broken clouds,78,-42.8794,147.3294,61.02,1.99
88,Pisco,75,PE,broken clouds,88,-13.7,-76.2167,64.45,0.0
89,Mar Del Plata,100,AR,light rain,88,-38.0023,-57.5575,66.22,21.0
90,Siemiatycze,91,PL,overcast clouds,78,52.4272,22.8623,40.24,19.89
91,Mehamn,50,NO,scattered clouds,88,71.0357,27.8492,24.98,13.62
92,Saint-Philippe,100,RE,light rain,86,-21.3585,55.7679,87.39,21.74
93,Cape Town,0,ZA,clear sky,28,-33.9258,18.4232,88.27,12.66
94,Richards Bay,100,ZA,moderate rain,86,-28.783,32.0377,74.28,11.68
95,Hithadhoo,100,MV,overcast clouds,71,-0.6,73.0833,82.58,13.0
96,Cidreira,70,BR,broken clouds,82,-30.1811,-50.2056,78.57,7.99
97,Beringovskiy,8,RU,clear sky,90,63.05,179.3167,-7.55,13.33
98,Albany,86,US,overcast clouds,81,42.6001,-73.9662,14.27,4.0
99,Imeni Poliny Osipenko,99,RU,overcast clouds,94,52.4201,136.4853,2.41,7.23
100,Chernyshevskiy,76,RU,broken clouds,100,63.0128,112.4714,-22.58,2.77
101,Lavrentiya,18,RU,few clouds,94,65.5833,-171.0,-16.65,9.01
102,Quelimane,75,MZ,broken clouds,89,-17.8786,36.8883,80.55,4.61
103,Sarangani,87,PH,overcast clouds,80,5.4033,125.4636,82.11,24.99
104,Laguna,0,US,clear sky,87,38.421,-121.4238,50.34,0.0
105,Tasiilaq,100,GL,overcast clouds,66,65.6145,-37.6368,26.76,17.85
106,Bonthe,31,SL,scattered clouds,57,7.5264,-12.505,86.9,6.53
107,Bengkulu,94,ID,light rain,87,-3.8004,102.2655,77.02,6.58
108,Port Elizabeth,100,ZA,overcast clouds,83,-33.918,25.5701,70.09,16.11
109,Neuquen,75,AR,broken clouds,82,-38.9516,-68.0591,55.29,0.0
110,Westport,100,US,overcast clouds,83,41.1415,-73.3579,25.81,3.0
111,Alofi,100,NU,overcast clouds,94,-19.0595,-169.9187,73.29,4.61
112,Fort Nelson,100,CA,light snow,77,58.8053,-122.7002,-8.01,3.44
113,Ribeira Grande,40,PT,scattered clouds,72,38.5167,-28.7,61.2,12.66
114,Magdagachi,83,RU,broken clouds,95,53.45,125.8,-6.14,3.74
115,Qurayyat,40,SA,scattered clouds,58,31.3318,37.3428,53.78,20.71
116,Chokurdakh,71,RU,broken clouds,100,70.6333,147.9167,-31.9,0.36
117,Watsa,99,CD,overcast clouds,19,3.0372,29.5355,89.46,5.82
118,Copiapo,0,CL,clear sky,46,-27.3667,-70.3333,62.29,3.29
119,Nalut,41,LY,scattered clouds,16,30.3333,10.85,66.9,8.21
120,Torbay,100,CA,very heavy rain,98,47.6666,-52.7314,48.76,13.8
121,Ancud,4,CL,clear sky,78,-41.8697,-73.8203,50.43,1.25
122,Kholodnyy,0,RU,clear sky,74,62.7167,147.95,-23.1,4.16
123,Zhireken,100,RU,overcast clouds,98,52.8249,117.3076,-9.24,2.51
124,Turukhansk,100,RU,overcast clouds,94,65.8167,87.9833,10.87,8.55
125,Tsogni,46,GA,scattered clouds,63,-2.7942,10.0988,83.79,9.1
126,Romeoville,0,US,clear sky,86,41.6475,-88.0895,8.19,0.0
127,Namatanai,90,PG,overcast clouds,79,-3.6667,152.4333,80.64,7.23
128,Iqaluit,75,CA,broken clouds,73,63.7506,-68.5145,-31.27,3.0
129,Upernavik,100,GL,overcast clouds,89,72.7868,-56.1549,-1.17,5.21
130,Tongliao,46,CN,scattered clouds,85,43.6125,122.2653,0.99,7.23
131,Tuktoyaktuk,40,CA,scattered clouds,95,69.4541,-133.0374,-25.89,11.25
132,Palatka,100,US,overcast clouds,84,29.6486,-81.6376,59.99,8.05
133,Dabat,58,ET,broken clouds,37,12.9842,37.765,66.22,10.85
134,Timra,75,SE,broken clouds,94,62.487,17.3257,31.68,3.44
135,Abu Zabad,67,SD,broken clouds,12,12.35,29.25,77.76,19.44
136,Anshun,100,CN,overcast clouds,91,26.25,105.9333,41.59,10.76
137,Seoul,0,KR,clear sky,46,37.5683,126.9778,24.24,5.75
138,Valdivia,11,CL,few clouds,81,-39.8142,-73.2459,46.49,3.24
139,Richmond,75,US,broken clouds,82,37.5538,-77.4603,33.89,4.0
140,Buala,36,SB,scattered clouds,83,-8.145,159.5921,81.46,7.11
141,Klaksvik,99,FO,overcast clouds,77,62.2266,-6.589,36.52,30.89
142,Tommot,100,RU,overcast clouds,98,58.9564,126.2925,-3.01,3.65
143,Bani Walid,13,LY,few clouds,14,31.7566,13.9942,71.04,7.83
144,Grand Gaube,100,MU,overcast clouds,78,-20.0064,57.6608,84.6,11.99
145,Baykit,100,RU,light snow,96,61.67,96.37,18.1,3.98
146,Pacific Grove,0,US,clear sky,54,36.6177,-121.9166,53.58,1.01
147,Chuy,98,UY,overcast clouds,90,-33.6971,-53.4616,69.37,3.15
148,Frontera,0,MX,clear sky,66,26.9333,-101.45,32.32,3.0
149,Gigmoto,92,PH,overcast clouds,83,13.7796,124.39,77.13,13.96
150,Brae,100,GB,overcast clouds,84,60.3964,-1.353,42.71,29.51
151,Thompson,40,CA,scattered clouds,67,55.7435,-97.8558,-39.84,0.0
152,Avarua,20,CK,few clouds,83,-21.2078,-159.775,78.85,11.5
153,Praia Da Vitoria,75,PT,broken clouds,88,38.7333,-27.0667,60.76,16.62
154,Katsuura,89,JP,overcast clouds,39,35.1333,140.3,39.18,14.41
155,Acajutla,0,SV,clear sky,69,13.5928,-89.8275,75.94,6.02
156,North Bend,75,US,broken clouds,100,43.4065,-124.2243,46.08,0.0
157,Ucluelet,88,CA,overcast clouds,91,48.9329,-125.5528,46.09,2.8
158,Provideniya,2,RU,clear sky,88,64.3833,-173.3,-3.15,10.29
159,Hay River,100,CA,light snow,77,60.8156,-115.7999,-9.42,5.75
160,Koslan,69,RU,broken clouds,98,63.4564,48.8989,6.03,3.11
